user_id,segment_id,lifecycle_day,notif_1_template,notif_1_time,notif_1_channel,notif_2_template,notif_2_time,notif_2_channel,notif_3_template,notif_3_time,notif_3_channel,notif_4_template,notif_4_time,notif_4_channel,notif_5_template,notif_5_time,notif_5_channel,notif_6_template,notif_6_time,notif_6_channel,notif_7_template,notif_7_time,notif_7_channel,notif_8_template,notif_8_time,notif_8_channel,notif_9_template,notif_9_time,notif_9_channel
US_1,Flight-Risk Subscribers,D24-D30,TPL_0026,night,push,TPL_0027,evening,push,TPL_0028,afternoon,push,TPL_0029,late_afternoon,push,TPL_0030,afternoon,push,,,,,,,,,,,,
US_2,Lost Customers,D16-D30 (Post-Churn),TPL_0041,evening,email,,,,,,,,,,,,,,,,,,,,,,,,
US_3,High-Intent Trialists,D3-D5,TPL_0036,early_morning,push,TPL_0037,late_afternoon,push,TPL_0038,afternoon,push,,,,,,,,,,,,,,,,,,
US_4,Slipping Subscribers,D16-D23,TPL_0046,afternoon,push,TPL_0047,mid_morning,push,TPL_0048,evening,push,TPL_0049,night,push,TPL_0050,afternoon,push,,,,,,,,,,,,
US_5,Lost Customers,D16-D30 (Post-Churn),TPL_0041,evening,email,,,,,,,,,,,,,,,,,,,,,,,,
US_6,High-Intent Trialists,D0-D2,TPL_0036,night,push,TPL_0037,mid_morning,push,TPL_0038,afternoon,push,,,,,,,,,,,,,,,,,,
US_7,Dormant Users,D16-D30 (Post-Churn),TPL_0021,early_morning,push,,,,,,,,,,,,,,,,,,,,,,,,
US_8,At-Risk Trialists,D3-D5,TPL_0006,early_morning,push,TPL_0007,afternoon,push,TPL_0008,early_morning,push,,,,,,,,,,,,,,,,,,
US_9,High-Intent Trialists,D0-D2,TPL_0036,night,push,TPL_0037,afternoon,push,TPL_0038,evening,push,,,,,,,,,,,,,,,,,,
US_10,Dormant Users,D16-D30 (Post-Churn),TPL_0021,early_morning,push,,,,,,,,,,,,,,,,,,,,,,,,
US_11,Dormant Users,D16-D30 (Post-Churn),TPL_0021,early_morning,push,,,,,,,,,,,,,,,,,,,,,,,,
US_12,Flight-Risk Subscribers,D24-D30,TPL_0026,mid_morning,push,TPL_0027,late_afternoon,push,TPL_0028,evening,push,,,,,,,,,,,,,,,,,,
US_13,Community Builders,D16-D23,TPL_0011,night,push,TPL_0012,mid_morning,push,TPL_0013,evening,push,TPL_0014,early_morning,push,TPL_0015,night,push,,,,,,,,,,,,
US_14,At-Risk Trialists,D0-D2,TPL_0006,night,push,TPL_0007,evening,push,TPL_0008,late_afternoon,push,,,,,,,,,,,,,,,,,,
