entity_type,entity_id,segment_id,slot_pos,change_type,metric_trigger,before_value,after_value,explanation
slot,US_21_slot1,AI-Powered Learners,1.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0116|early_morning,TPL_0001|late_afternoon,"TPL_0116 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0001 at late_afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_21_slot2,AI-Powered Learners,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0117|early_morning,TPL_0002|mid_morning,"TPL_0117 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0002 at mid_morning (posterior_mean=0.583, label=GOOD)."
slot,US_21_slot3,AI-Powered Learners,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0118|early_morning,TPL_0003|night,"TPL_0118 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0003 at night (posterior_mean=0.583, label=GOOD)."
slot,US_21_slot4,AI-Powered Learners,4.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0119|evening,TPL_0004|early_morning,"TPL_0119 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0004 at early_morning (posterior_mean=0.583, label=GOOD)."
slot,US_21_slot5,AI-Powered Learners,5.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0120|evening,TPL_0005|early_morning,"TPL_0120 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0005 at early_morning (posterior_mean=0.583, label=GOOD)."
slot,US_26_slot1,AI-Powered Learners,1.0,template_replaced,old_pm=0.500;new_pm=0.583,TPL_0116|evening,TPL_0001|evening,"TPL_0116 (posterior_mean=0.500, label=) replaced by TPL_0001 (posterior_mean=0.583, label=GOOD) in AI-Powered Learners."
slot,US_26_slot2,AI-Powered Learners,2.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0117|evening,TPL_0002|afternoon,"TPL_0117 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0002 at afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_26_slot3,AI-Powered Learners,3.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0118|evening,TPL_0003|afternoon,"TPL_0118 at evening had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0003 at afternoon (posterior_mean=0.583, label=GOOD)."
slot,US_26_slot4,AI-Powered Learners,4.0,template_replaced,old_pm=0.500;new_pm=0.583,TPL_0119|evening,TPL_0004|evening,"TPL_0119 (posterior_mean=0.500, label=) replaced by TPL_0004 (posterior_mean=0.583, label=GOOD) in AI-Powered Learners."
slot,US_26_slot5,AI-Powered Learners,5.0,template_and_window_updated,old_arm_label=UNKNOWN;old_ctr=0.000;new_pm=0.583,TPL_0120|early_morning,TPL_0005|mid_morning,"TPL_0120 at early_morning had CTR=0.0% (label=UNKNOWN in AI-Powered Learners). Replaced by TPL_0005 at mid_morning (posterior_mean=0.583, label=GOOD)."
