template_id,segment_id,lifecycle_stage,day_range,slot_num,slot_name,theme_role,theme_expressed,slot_swapped,primary_theme,secondary_theme,tones_used,hooks_used,emotional_core,message_title_en,message_body_en,cta_text_en,message_title_hi,message_body_hi,cta_text_hi,quality_flag
TPL_0001,Flight-Risk Subscribers,paid,D8-D12,1,Sia's Observation,primary,Loss Avoidance,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,Don't let your progress slip away,Sia Misses You,Just 2 minutes today?,Jump Back,Teri mehnat beardaasht na ho,Aaj sirf 2 min de de,Chal na shuru karte,OK
TPL_0002,Flight-Risk Subscribers,paid,D8-D12,2,The Honest Number,primary,Loss Avoidance,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,protect progress by continuing daily sessions,Streak at Risk,"47 words this week, keep it alive",Jump Back,Tootne wala hai tera streak,"Is hafte 47 words seekhe, abhi aur",Chal na shuru karte,OK
TPL_0003,Flight-Risk Subscribers,paid,D8-D12,3,Soft Claim,primary,Loss Avoidance,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,protect your progress,Coins at Risk,Your coins are waiting,Collect Now,Teri mehnat mat tod,Aaj ek lesson kar le,Chal na shuru karte,OK
TPL_0004,Flight-Risk Subscribers,paid,D8-D12,4,Half Story,secondary,Ownership,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,reclaiming ownership of progress,Streak on Hold,2 minutes to keep it alive,Restart Now,Teri Streak,"bas 2 min de, aur --",Chal Na,OK
TPL_0005,Flight-Risk Subscribers,paid,D8-D12,5,Real India,secondary,Ownership,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,Sia has been preparing you for real Indian life moments,Salary Talk,Sia's got your back for that negotiation,Jump Back,Salary baat hai,Sia ne taiyar kiya hai aapko,Chal na,OK
TPL_0006,Flight-Risk Subscribers,paid,D13-D20,1,Sia's Observation,primary,Loss Avoidance,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,Don't let your progress slip away,Streak on the line,One session saves 14 days of work,Save now,Streak tod mat yaar,"Ek lesson aur, bas itna",dekho progress,OK
TPL_0007,Flight-Risk Subscribers,paid,D13-D20,2,The Honest Number,primary,Loss Avoidance,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,Don't let your progress slip away,Streak on the line,"47 words this week, more than average",See progress,Tod mat apni streak,"Is hafte 47 words seekhe, average se zyada",Apna progress dekho,OK
TPL_0008,Flight-Risk Subscribers,paid,D13-D20,3,Soft Claim,primary,Loss Avoidance,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,protecting progress to avoid loss,Streak at Risk,One session saves your progress,Save Now,tere 14 din ki mehnat,aaj ek lesson aur bas itna,dekho progress,OK
TPL_0009,Flight-Risk Subscribers,paid,D13-D20,4,Half Story,secondary,Ownership,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,You're in control of your English progress,Your Progress,See how far you've come,Check Now,Aapki mehnat,kitni door nikal aaye,dekho ab,OK
TPL_0010,Flight-Risk Subscribers,paid,D13-D20,5,Real India,secondary,Ownership,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,You're closer to acing office English interactions,Office English Just Got Easier,Sia's lessons are paying off in real conversations,See Progress,Office mein English ab asaan hai,Sia ki classes asli baatcheet mein kaam aa rahi hain,Apna progress dekho,OK
TPL_0011,Flight-Risk Subscribers,paid,D21-D30,1,Sia's Observation,primary,Loss Avoidance,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,protect your progress,Streak at Risk,One session saves your streak,Try Now,Streak tod mat yaar,"Ek lesson aur, bas itna",Aaj try kar,OK
TPL_0012,Flight-Risk Subscribers,paid,D21-D30,2,The Honest Number,primary,Loss Avoidance,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,"protect your progress, don't lose it",Streak on Line,"47 words this week, don't waste it",Try Now,Tod mat yaar,"Is hafte 47 words seekhe, ab chod mat",Aaj try kar,OK
TPL_0013,Flight-Risk Subscribers,paid,D21-D30,3,Soft Claim,primary,Loss Avoidance,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,protect your progress,Role Play,Try role play today,Try Now,Naya role play,Aaj ek role play kar le,Aaj try kar,OK
TPL_0014,Flight-Risk Subscribers,paid,D21-D30,4,Half Story,secondary,Ownership,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,You're in control of your progress,Role Play Awaits,Try a new scenario today,Start Role,Naya role play hai,Aaj ek naya scenario try karo,Shuru karo ab,OK
TPL_0015,Flight-Risk Subscribers,paid,D21-D30,5,Real India,secondary,Ownership,False,Loss Avoidance,Ownership,urgent-but-supportive | reassuring | continuity-focused,protect_streak | protect_progress | continue_plan | restart_small,owning English skills for real-life moments,Ace Salary Talks,Sia prepares you for real conversations,Try Roleplay,Salary negotiation mein kabhi akad naa,"Sia se Seekho, asli baatcheet ke liye",Aaj try kar,OK
